sender,aff
Mário Rocha,Theatro Municipal de São Paulo
Antonio Azola,Theatro Municipal do Rio de Janeiro
Marcelo Gershfeld,NA
Cássia Lima,Orquestra Filarmônica de MG
Eliane Tokeshi,USP
Marcus Julius,Orquestra Filarmônica de MG
Max Teppich,UFMG
Carlos Aleixo,UFMG
Alberto Fernandes,NA
Afranio Lacerda,NA
Adonhiran Reis,UFMG
Alceu Reis,NA
Javer Gomes de Oliveira,NA
Nuno Pinto,ESMAE
Fábio Mechetti,Orquestra Filarmônica de MG
Marcos Arakaki,Orquestra Filarmônica de MG
Arnon de Oliveira,UFMG
Hélio Azevedo,NA
Maurício Loureiro,UFMG
Oséas Arantes,NA
Nilson Bellotto,"Orquestra Filarmônica de MG, Orquestra Ouro Preto"
Joanna Bello,Orquestra Filarmônica de MG
Hyu Jung,Orquestra Filarmônica de MG
Alexandre Barros,Orquestra Filarmônica de MG
Oiliam Lanna,UFMG
Luís Otávio Santos,EMESP
Dante Coutinho,Orquestra Filarmônica de MG
Mark Mulley,Orquestra Filarmônica de MG
Sérgio Gomes,Orquestra Sinfônica de MG
Moacir Laterza,"UEMG, FEA"
Gerry Varona,Orquestra Filarmônica de MG
Frank Haemmer,Orquestra Filarmônica de MG
Celina Szervinsky,UFMG
Egberto Gismonti,NA
Renato Lisboa,Orquestra Filarmônica de MG
Rogério Vasconcelos,UFMG
André Gonçalves,OSESP
João Carlos Ferreira,Orquestra Filarmônica de MG
Eduardo Swerts,Orquestra Filarmônica de MG
João Pedro Oliveira,UFMG
Luís Garcia,OSB
Rommel Fernandes,Orquestra Filarmônica de MG
Rossini Parucci,Orquestra Filarmônica de MG
Leonardo Gorozito,NA
Mabio Duarte,UFU
Fernando Rocha,UFMG
Tássio Furtado,Orquestra Filarmônica de MG
Robson Fonseca,Orquestra Filarmônica de MG
Stephanie Freitas,UFMG
Érico Fonseca,Orquestra Filarmônica de MG
Patrício Hernandez,Orquestra Filarmônica de MG
Alice Belém,UEMG
Arthur Andrés,NA
Rafael Martini,NA
Wallace Mariano,Orquestra Filarmônica de MG
Valdir Claudino,UEMG
Luciano Datele,Orquestra Filarmônica de MG
Rúben Zuniga,Orquestra Filarmônica de MG
Gideoni Loamir,Orquestra Filarmônica de MG
Felipe Rossi,NA
Moises Guimaraes,UFMG
Josafá Ferreira,Orquestra Sinfônica de Betim
Marlon Humphrey,Orquestra Filarmônica de MG
Rodrigo Oliveira,Orquestra Filarmônica de MG
Camila Pacífico,Orquestra Filarmônica de MG
Publio Silva,Orquestra Filarmônica de MG
Anderson Sidney,NA
Tiago Barbosa,Orquestra Sinfônica da PM
Daniel Lemos,Orquestra Filarmônica de MG
Jonatas Bueno,Orquestra Filarmônica de MG
André Geiger,Orquestra Filarmônica de MG
Pablo Guiñez,Orquestra Filarmônica de MG
Ana Paula Schmidt,Orquestra Filarmônica de MG
Helder Trefzger,Orquestra Sinfônica do Espírito Santo
Fabiano Andrade,Orquestra Sinfônica da PM
Ney Franco,Orquestra Filarmônica de MG
Gustavo Trindade,Orquestra Filarmônica de MG
Rafael Marcenes,Orquestra Sinfônica da PM
Davi Fonseca,NA
Marcos Lemes,Orquestra Filarmônica de MG
Thiago Nunes,NA
Rafael Macedo,NA
Victor Araújo,Orquestra Filarmônica de MG
Ayumi Shigeta,Orquestra Filarmônica de MG
Marcelo Nébias,Orquestra Filarmônica de MG
Lucas Barros,Orquestra Filarmônica de MG
Rafael Gaspar,NA
Paula Mendes,Orquestra Sinfônica de MG
Xante,NA
Elias Barros,Orquestra SESIMINAS
Paulo Rosa,NA
Jose Vitor,Orquestra Sinfônica da PM
Alma Maria Liebrecht,Orquestra Filarmônica de MG
Alef Caetano,Orquestra Sinfônica de MG
Ravel Lanza,Orquestra SESIMINAS
Firmino Cavazza,"Orquestra Sinfônica de MG, Orquestra SESIMINAS"
Gustavo Pifer,NA
Isaque Macedo,Orquestra Sinfônica de MG
Katherine Carignan,Orquestra Filarmônica de MG
Henrique Rocha,NA
Gabriel Faustino,NA
Renzo Costa,Orquestra Sinfônica de MG
Renata Xavier,Orquestra Filarmônica de MG
Paulo Fróis,NA
Cleusa Nebias,"Orquestra Sinfônica de MG, Orquestra SESIMINAS"
Eduardo Campos,Orquestra Sinfônica de MG
Maurício Freire,UFMG
Luís Humbelino,NA
Rodrigo Braga,Orquestra Filarmônica de MG
Daniel Damasceno,NA
William Barros,"Orquestra Sinfônica de MG, Orquestra SESIMINAS"
Giovanni Martins,NA
Vivian Meira,Academia de Música da OSESP
Lucas Henrique,Orquestra Sinfônica de Betim
Igor Lima,NA
Jovany Gomes,Força Aérea Brasileira
Patrícia Valadão,UFMG
Luka milanovic,Orquestra Filarmônica de MG
Joana Boechat,NA
Leonidas Caceres,Orquesta Sinfonica Nacional de Colombia
Rodrigo Miranda,NA
Lucas Barreto,SESC
Igor Pereira,NA
Antonio Magalhães,NA
Lucas Damasceno,EMP
Margarida Borghoff,UFMG
Giordano,NA
Camila Ribeiro,Orquestra Filarmônica de MG
Luiza Salles,NA
Josineia Godinho,Arquidiocese de Mariana
Helcio Vaz,NA
Marcos Freitas,NA
Isabele Alves,NA
coral de trombones e tubas da UFMG,UFMG
Jovana Trifunovic,Orquestra Filarmônica de MG
William Neres,Orquestra Filarmônica de MG
Rodolfo Toffolo,Orquestra Filarmônica de MG
Robério Molinari,"UFMG, UEMG"
Ana Paula,NA
Flávia Mota,Orquestra Filarmônica de MG
Werner Silveira,Orquestra Filarmônica de MG
