sender,receiver
Fabio Ogata,Orquestra Filarmônica de MG
Fabio Ogata,Orquestra Sinfônica de MG
Fabio Ogata,Orquestra Ouro Preto
Fabio Ogata,Orquestra SESIMINAS
Mário Rocha,NA
Marcelo Cunha,Orquestra Filarmônica de MG
Marcelo Cunha,Orquestra Sinfônica de MG
Marcelo Cunha,Orquestra Ouro Preto
Marcelo Cunha,Orquestra Sinfônica de Santo André
Marcelo Cunha,Orquestra Sinfônica de Campinas
Antonio Azola,NA
Rodrigo Bustamente,Orquestra Filarmônica de MG
Rodrigo Bustamente,Orquestra SESIMINAS
Rodrigo Bustamente,Orquestra Sinfônica de Porto Alegre
Rodrigo Bustamente,ULBRA
Marcelo Gershfeld,NA
Rafael Alberto,Orquestra Filarmônica de MG
Rafael Alberto,Orquestra Sinfônica de MG
Rafael Alberto,Orquestra Ouro Preto
Rafael Alberto,Orquestra SESIMINAS
Cássia Lima,NA
Tiago Ellwanger,Orquestra Filarmônica de MG
Tiago Ellwanger,Orquestra Ouro Preto
Eliane Tokeshi,NA
Sérgio Aluotto,Orquestra Filarmônica de MG
Sérgio Aluotto,Orquestra Sinfônica de MG
Sérgio Aluotto,Orquestra Ouro Preto
Israel Muniz,Orquestra Filarmônica de MG
Israel Muniz,Orquestra Ouro Preto
Marcus Julius,NA
Patrick Messias,Orquestra Sinfônica de MG
Max Teppich,NA
Hassuero Coutinho,Orquestra Sinfônica de MG
Carlos Aleixo,NA
Alberto Fernandes,NA
Marco Antonio Maia Drumond,Orquestra SESIMINAS
Afranio Lacerda,NA
João Marcos Dias,Orquestra Sinfônica de Betim
Adonhiran Reis,NA
Antônio Afonso Gonçalves,Orquestra Sinfônica de MG
Alceu Reis,NA
Javer Gomes de Oliveira,NA
Nuno Pinto,NA
Fausto Borem,UFMG
Fausto Borem,Orquestra Sinfônica de MG
Fausto Borem,Orquestra SESIMINAS
Fausto Borem,Orquestra Filarmônica de MG
Fábio Mechetti,NA
Leandro Cardoso,Orquestra Sinfônica da PM
Marcos Arakaki,NA
Werner Silveira,Orquestra Filarmônica de MG
Arnon de Oliveira,NA
Leonardo Brasilino,Orquestra Sinfônica de MG
Hélio Azevedo,NA
Alexandre Silva,Orquestra Filarmônica de MG
Maurício Loureiro,NA
Oséas Arantes,NA
Nilson Bellotto,NA
Joanna Bello,NA
Hyu Jung,NA
Alexandre Barros,NA
Oiliam Lanna,NA
Luís Otávio Santos,NA
Dante Coutinho,NA
Mark Mulley,NA
Sérgio Gomes,NA
Moacir Laterza,NA
Gerry Varona,NA
Frank Haemmer,NA
Celina Szervinsky,NA
Egberto Gismonti,NA
Renato Lisboa,NA
Rogério Vasconcelos,NA
André Gonçalves,NA
João Carlos Ferreira,NA
Eduardo Swerts,NA
João Pedro Oliveira,NA
Luís Garcia,NA
Rommel Fernandes,NA
Rossini Parucci,NA
Leonardo Gorozito,NA
Mabio Duarte,NA
Fernando Rocha,NA
Tássio Furtado,NA
Robson Fonseca,NA
Stephanie Freitas,NA
Érico Fonseca,NA
Patrício Hernandez,NA
Alice Belém,NA
Arthur Andrés,NA
Rafael Martini,NA
Wallace Mariano,NA
Valdir Claudino,NA
Luciano Datele,NA
Gideoni Loamir,NA
Felipe Rossi,NA
Moises Guimaraes,NA
Josafá Ferreira,NA
Marlon Humphrey,NA
Rodrigo Oliveira,NA
Camila Pacífico,NA
Publio Silva,NA
Anderson Sidney,NA
Tiago Barbosa,NA
Daniel Lemos,NA
Jonatas Bueno,NA
André Geiger,NA
Pablo Guiñez,NA
Ana Paula Schmidt,NA
Nilson Belloto,NA
Helder Trefzger,NA
Fabiano Andrade,NA
Rúben Zuniga,NA
Ney Franco,NA
Gustavo Trindade,NA
Flávia Mota,NA
Rafael Marcenes,NA
Davi Fonseca,NA
Marcos Lemes,NA
Ayume Shigeta,NA
Thiago Nunes,NA
Rafael Macedo,NA
Victor Araújo,NA
Marcelo Nébias,NA
Lucas Barros,NA
Rafael Gaspar,NA
Paula Mendes,NA
Xante,NA
Elias Barros,NA
Paulo Rosa,NA
Jose Vitor,NA
Alma Maria Liebrecht,NA
Alef Caetano,NA
Ravel Lanza,NA
Firmino Cavazza,NA
Gustavo Pifer,NA
Isaque Macedo,NA
Katherine Carignan,NA
Henrique Rocha,NA
Gabriel Faustino,NA
Renzo Costa,NA
Renata Xavier,NA
Paulo Fróis,NA
Cleusa Nebias,NA
Eduardo Campos,NA
Maurício Freire,NA
Luís Humbelino,NA
Rodrigo Braga,NA
Daniel Damasceno,NA
William Barros,NA
Giovanni Martins,NA
Ayumi Shigeta,NA
Vivian Meira,NA
Lucas Henrique,NA
Igor Lima,NA
Jovany Gomes,NA
Patrícia Valadão,NA
Luka milanovic,NA
Joana Boechat,NA
Leonidas Caceres,NA
Rodrigo Miranda,NA
Lucas Barreto,NA
Cátia Neris,NA
Igor Pereira,NA
Antonio Magalhães,NA
Lucas Damasceno,NA
Margarida Borghoff,NA
Giordano,NA
Camila Ribeiro,NA
Luiza Salles,NA
Josineia Godinho,NA
Helcio Vaz,NA
Marcos Freitas,NA
Isabele Alves,NA
Arthur Yan,NA
coral de trombones e tubas da UFMG,NA
Jovana Trifunovic,NA
William Neres,NA
Rodolfo Toffolo,NA
Robério Molinari,NA
Ana Paula,NA
